,Area (m2),Property Type,Bedrooms,Bathrooms,Law Document,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Year,Quarter
15821,-1.0941309034696574,2.0,-0.30059175157693774,1.8606734455566496,4.0,0.6930519998140507,-0.7437798474281713,-0.6914309856834636,-0.8805042769386289,1.2848553001768457,1.0,-0.8563900589349484,1.368523712289597
11844,0.15418154465866135,0.0,-0.9249162924856396,-1.6111253075101695,4.0,0.6953187015375819,-0.7877304746194901,-0.6912218325021668,-0.8805042769386289,1.2848553001768457,1.0,-0.19232954130837818,-1.5428429300973407
19935,-1.1901549379410665,2.0,-0.30059175157693774,0.9927237572899448,4.0,0.6991334370201698,-0.757593856970263,-0.6919190097731561,-0.0786442006737814,-0.058641119372051485,1.0,-0.19232954130837818,1.368523712289597
17631,-1.2221629494315362,2.0,0.323732789331764,0.12477406902324001,3.0,0.6848898700476286,-0.6983937334649061,-0.6894788893246938,-0.0786442006737814,-0.058641119372051485,1.0,-1.5204505765615184,-0.5723873826350282
23506,-1.126138914960127,3.0,-0.30059175157693774,0.9927237572899448,4.0,0.687960924415391,-0.6769838625093446,-0.68843312341821,-0.0786442006737814,-0.058641119372051485,1.0,0.47173097631819194,-1.5428429300973407
7449,0.4742616595633585,0.0,-0.30059175157693774,-0.7431756192434648,4.0,0.6948685484872849,-0.7317988554184905,-0.6872827809210778,-0.8805042769386289,1.2848553001768457,1.0,1.135791493944762,-1.5428429300973407
17598,-0.690829958689739,2.0,-0.30059175157693774,-0.7431756192434648,4.0,0.6907060549243983,-0.5936147538093833,-0.6914658445470131,-0.8805042769386289,1.2848553001768457,1.0,-1.5204505765615184,-0.5723873826350282
11621,0.858357797448995,0.0,-0.30059175157693774,-0.7431756192434648,4.0,0.6978146835013289,-0.7471926625280576,-0.6879450993285174,-0.0786442006737814,-0.058641119372051485,1.0,-0.8563900589349484,1.368523712289597
4678,1.8089957387159454,3.0,0.323732789331764,0.12477406902324001,4.0,-1.4406459835816392,1.4182171875211247,1.3990202025142093,0.18852628379911343,-0.5064732592216838,0.0,1.135791493944762,-1.5428429300973407
17852,-1.2861789724124757,2.0,-0.30059175157693774,-0.7431756192434648,4.0,0.6966602722362162,-0.7822267509743585,-0.6919190097731561,-0.0786442006737814,-0.058641119372051485,1.0,-1.5204505765615184,-0.5723873826350282
6202,2.823649702963835,3.0,-0.30059175157693774,0.12477406902324001,4.0,-1.4362345852268426,1.383231327738966,1.4496352723880277,0.18852628379911343,-0.5064732592216838,0.0,0.47173097631819194,0.3980681648272844
